id,nombre,categoria,precio,stock
596,Extensor de Red v5,Redes,900.83,171
597,Monitor 4K,Monitores,407.77,56
598,Switch 8 Puertos,Redes,789.6,65
599,Monitor Portátil,Monitores,73.7,174
600,Batería Externa,Accesorios,586.94,122
601,Hub USB-C v3,Accesorios,472.07,135
602,Licencia Office v4,Software,211.21,144
603,Webcam HD,Perifericos,939.63,181
604,Parlante Portátil,Audio,112.19,55
605,Tarjeta SD 128GB v4,Almacenamiento,608.73,157
606,Disco SSD 1TB,Almacenamiento,618.36,126
607,All in One 24 v5,Computadoras,848.44,66
608,Tarjeta SD 128GB,Almacenamiento,564.1,40
609,Funda Protectora v3,Moviles,753.95,27
610,Tablet 10,Moviles,937.13,67
611,Volante para Consola,Gaming,891.75,102
612,Audífonos Bluetooth,Audio,906.7,0
613,Tablet 10 v2,Moviles,515.73,185
614,Laptop Gamer v2,Computadoras,901.23,8
615,Teclado Mecánico v2,Perifericos,346.27,170
616,Funda Protectora v3,Moviles,115.98,130
617,Monitor Curvo 27,Monitores,946.31,153
618,Laptop Gamer v4,Computadoras,840.63,113
619,Extensor de Red,Redes,12.27,93
620,Cable de Red Cat6,Redes,509.18,175
621,Memoria USB 64GB v2,Almacenamiento,458.32,44
622,Consola Portátil,Gaming,909.28,72
623,Licencia Office,Software,448.97,92
624,PC de Escritorio,Computadoras,471.28,195
625,Licencia Office v4,Software,612.94,175
626,Silla Gamer,Gaming,772.22,157
627,Memoria USB 64GB,Almacenamiento,649.63,87
628,Laptop Gamer,Computadoras,693.52,62
629,Mini PC,Computadoras,241.62,13
630,Licencia Windows v3,Software,285.35,78
631,Monitor 24 pulgadas,Monitores,852.93,151
632,Disco SSD 512GB,Almacenamiento,361.6,171
633,Cable de Red Cat6 v4,Redes,873.0,48
634,Monitor Curvo 27,Monitores,507.27,111
635,Disco SSD 1TB,Almacenamiento,68.97,172
636,Monitor Curvo 27,Monitores,726.05,87
637,Disco SSD 1TB,Almacenamiento,825.63,48
638,Funda Protectora,Moviles,711.86,25
639,Licencia Windows v2,Software,841.34,185
640,Funda Protectora,Moviles,38.87,164
641,Audífonos Gamer,Audio,582.13,159
642,Batería Externa,Accesorios,611.99,51
643,Base para Laptop,Accesorios,661.43,92
644,Monitor Gamer 144Hz,Monitores,11.32,48
645,Tarjeta de Regalo Gaming,Gaming,663.64,25
646,Cargador Rápido,Moviles,28.93,161
647,Webcam HD,Perifericos,461.37,10
648,Hub USB-C,Accesorios,305.13,53
649,Monitor Curvo 27,Monitores,439.64,45
650,Licencia Antivirus v3,Software,859.45,139
651,Disco SSD 512GB,Almacenamiento,665.0,149
652,Monitor Portátil,Monitores,461.45,110
653,Laptop Gamer,Computadoras,752.88,102
654,Licencia Antivirus,Software,929.82,195
655,Laptop 14 pulgadas v4,Computadoras,561.56,33
656,Cable HDMI,Accesorios,283.0,26
657,Control Inalámbrico v3,Gaming,915.34,33
658,Laptop 14 pulgadas v4,Computadoras,249.29,9
659,Switch 8 Puertos,Redes,647.06,144
660,Adaptador USB WiFi,Redes,315.0,113
661,Disco HDD 2TB v4,Almacenamiento,444.16,186
662,Teclado Numérico v2,Perifericos,917.68,113
663,Parlante Portátil,Audio,456.72,28
664,Suite de Diseño,Software,217.68,19
665,Micrófono USB,Audio,800.51,10
666,Disco HDD 2TB v5,Almacenamiento,183.94,184
667,Monitor 4K v3,Monitores,34.65,104
668,Software de Respaldo v3,Software,87.67,187
669,Licencia Office,Software,401.8,161
670,Barra de Sonido,Audio,901.25,95
671,PC de Escritorio v3,Computadoras,660.47,74
672,Laptop 14 pulgadas,Computadoras,904.67,138
673,Tablet 10,Moviles,449.03,56
674,Tablet 10,Moviles,433.57,93
675,Mini PC,Computadoras,730.19,101
676,Consola Portátil,Gaming,530.38,183
677,Organizador de Cables,Accesorios,641.09,165
678,Funda Protectora,Moviles,302.23,110
679,Monitor 24 pulgadas,Monitores,613.14,67
680,Tablet 10,Moviles,790.6,19
681,Tarjeta SD 128GB,Almacenamiento,886.11,118
682,Monitor Curvo 27,Monitores,741.26,43
683,Tarjeta de Regalo Gaming,Gaming,692.77,71
684,Monitor 24 pulgadas,Monitores,207.85,26
685,Licencia Windows,Software,473.28,39
686,Tablet 10,Moviles,588.28,91
687,Tablet 10,Moviles,246.17,51
688,Webcam HD,Perifericos,454.69,165
689,Silla Gamer v4,Gaming,938.92,13
690,Monitor 24 pulgadas,Monitores,754.03,124
691,Audífonos Gamer,Audio,779.93,90
692,All in One 24,Computadoras,664.66,104
693,Teclado Mecánico,Perifericos,442.19,127
694,Monitor Curvo 27,Monitores,456.31,114
695,PC de Escritorio,Computadoras,481.77,196
696,Organizador de Cables,Accesorios,828.94,135
697,Base para Laptop,Accesorios,102.7,31
698,All in One 24,Computadoras,340.51,46
699,Laptop 14 pulgadas v3,Computadoras,761.81,81
700,Tarjeta SD 128GB,Almacenamiento,493.72,42
701,All in One 24,Computadoras,612.14,94
702,Licencia Office v4,Software,143.52,131
703,Disco SSD 512GB v2,Almacenamiento,244.57,162
704,Cable HDMI,Accesorios,946.24,6
705,Monitor Portátil,Monitores,714.23,120
706,Teclado Numérico,Perifericos,832.33,105
707,Control Inalámbrico v3,Gaming,411.12,144
708,Monitor 4K,Monitores,36.46,136
709,Teclado Numérico,Perifericos,489.54,142
710,Disco HDD 2TB,Almacenamiento,131.82,71
711,Control Inalámbrico,Gaming,657.21,186
712,Software de Respaldo v5,Software,779.62,20
713,Funda Protectora,Moviles,42.46,172
714,Teclado Numérico,Perifericos,438.89,199
715,Disco HDD 2TB,Almacenamiento,532.73,125
716,Control Inalámbrico,Gaming,638.72,28
717,Organizador de Cables,Accesorios,355.27,96
718,Tarjeta de Regalo Gaming v3,Gaming,558.23,144
719,Memoria USB 64GB v5,Almacenamiento,101.21,152
720,Switch 8 Puertos,Redes,416.26,53
721,Disco SSD 512GB v3,Almacenamiento,20.95,139
722,Suite de Diseño v4,Software,304.17,103
723,Monitor 24 pulgadas,Monitores,342.11,27
724,Monitor Gamer 144Hz,Monitores,806.23,6
725,PC de Escritorio,Computadoras,222.2,92
726,Monitor Curvo 27 v3,Monitores,898.94,51
727,PC de Escritorio v2,Computadoras,41.06,43
728,Tarjeta SD 128GB v3,Almacenamiento,401.32,93
729,Cargador Rápido v3,Moviles,90.75,173
730,Monitor 4K,Monitores,356.33,103
731,Router WiFi 6,Redes,913.03,72
732,Disco HDD 2TB,Almacenamiento,758.3,93
733,Tarjeta SD 128GB,Almacenamiento,58.44,186
734,Teclado Mecánico,Perifericos,879.72,84
735,Cargador Rápido,Moviles,297.85,76
736,Disco SSD 512GB,Almacenamiento,820.08,182
737,Webcam HD v5,Perifericos,52.0,133
738,Smartphone Gama Media v4,Moviles,767.7,127
739,Tarjeta SD 128GB,Almacenamiento,826.5,194
740,Smartwatch Deportivo,Moviles,249.28,94
741,Volante para Consola,Gaming,389.96,196
742,Teclado Mecánico v2,Perifericos,695.49,199
743,Tablet 10,Moviles,455.0,187
744,Parlante Portátil v3,Audio,898.21,132
745,Monitor 24 pulgadas,Monitores,873.12,37
746,Monitor 24 pulgadas v4,Monitores,874.66,43
747,Cargador Rápido,Moviles,486.39,133
748,Audífonos Gamer,Audio,140.14,72
749,Teclado Mecánico v5,Perifericos,571.92,119
750,Parlante Portátil v4,Audio,191.97,132
751,Teclado Mecánico,Perifericos,663.59,122
752,Parlante Portátil,Audio,888.16,178
753,Licencia Office,Software,612.99,120
754,Control Inalámbrico,Gaming,940.64,80
755,Adaptador USB WiFi,Redes,634.0,4
756,Micrófono USB,Audio,765.3,110
757,Batería Externa v5,Accesorios,504.06,153
758,Licencia Windows,Software,659.59,193
759,Teclado Mecánico v5,Perifericos,698.19,117
760,Funda Protectora,Moviles,621.76,54
761,Cable HDMI v3,Accesorios,225.11,92
762,Tarjeta de Regalo Gaming,Gaming,726.39,195
763,Cargador Rápido,Moviles,196.19,172
764,Mini PC,Computadoras,199.53,17
765,Disco SSD 512GB v5,Almacenamiento,858.66,40
766,Monitor 24 pulgadas v5,Monitores,222.26,75
767,Disco HDD 2TB,Almacenamiento,232.04,154
768,Monitor Portátil,Monitores,711.81,131
769,Cable de Red Cat6,Redes,855.18,197
770,Teclado Mecánico,Perifericos,115.65,163
771,Mini PC,Computadoras,786.84,183
772,Mini PC,Computadoras,828.4,56
773,Micrófono USB,Audio,32.58,108
774,Base para Laptop,Accesorios,619.72,162
775,Smartwatch Deportivo,Moviles,273.96,92
776,Barra de Sonido v4,Audio,172.97,137
777,Teclado Numérico v3,Perifericos,518.05,25
778,Disco SSD 512GB,Almacenamiento,611.66,150
779,Base para Laptop v4,Accesorios,19.72,23
780,Audífonos Gamer,Audio,52.16,14
781,Tarjeta de Regalo Gaming,Gaming,11.86,28
782,Mousepad Gamer,Perifericos,763.33,20
783,Tarjeta de Regalo Gaming,Gaming,8.3,28
784,Suite de Diseño,Software,591.37,184
785,Silla Gamer,Gaming,192.83,179
786,Licencia Office,Software,368.69,10
787,Cable de Red Cat6 v3,Redes,231.43,133
788,Batería Externa,Accesorios,579.73,129
789,Switch 8 Puertos v5,Redes,655.99,15
790,Cable HDMI,Accesorios,862.8,140
791,Monitor Curvo 27 v3,Monitores,338.14,137
792,Audífonos Bluetooth,Audio,697.17,187
793,Barra de Sonido,Audio,544.47,64
794,Webcam HD,Perifericos,578.22,5
795,Base para Laptop v5,Accesorios,73.26,79
796,Disco SSD 1TB,Almacenamiento,635.62,97
797,Memoria USB 64GB,Almacenamiento,793.63,39
798,Base para Laptop,Accesorios,94.27,80
799,Licencia Office,Software,592.56,43
800,Base para Laptop,Accesorios,524.24,131
801,Teclado Mecánico v3,Perifericos,769.48,171
802,Monitor Portátil,Monitores,339.94,83
803,Tarjeta de Regalo Gaming v3,Gaming,193.67,194
804,Teclado Numérico v4,Perifericos,533.86,198
805,Router WiFi 6,Redes,448.46,146
806,Mousepad Gamer,Perifericos,586.34,4
807,Parlante Portátil v5,Audio,226.37,195
808,Licencia Office,Software,307.99,38
809,All in One 24,Computadoras,669.79,57
810,Disco SSD 512GB,Almacenamiento,252.3,169
811,Smartphone Gama Media,Moviles,750.65,191
812,PC de Escritorio,Computadoras,626.28,118
813,Licencia Antivirus v2,Software,365.82,49
814,Router WiFi 6,Redes,697.74,6
815,Licencia Windows v3,Software,700.89,98
816,Memoria USB 64GB v5,Almacenamiento,726.39,112
817,Organizador de Cables v5,Accesorios,743.3,141
818,Memoria USB 64GB v3,Almacenamiento,133.87,199
819,Monitor 24 pulgadas,Monitores,358.14,27
820,Software de Respaldo,Software,718.3,150
821,Parlante Portátil,Audio,402.96,16
822,Monitor 4K v5,Monitores,131.6,128
823,Parlante Portátil,Audio,914.87,138
824,Control Inalámbrico v5,Gaming,729.71,82
825,Monitor Portátil v4,Monitores,38.46,56
826,Audífonos Gamer v3,Audio,593.07,88
827,Mouse Inalámbrico v3,Perifericos,231.85,0
828,Tablet 10 v5,Moviles,271.65,188
829,Disco SSD 1TB,Almacenamiento,568.1,44
830,Cable de Red Cat6 v3,Redes,935.59,70
831,Hub USB-C,Accesorios,221.11,53
832,Tarjeta de Regalo Gaming v2,Gaming,223.81,163
833,All in One 24,Computadoras,811.96,197
834,Mousepad Gamer,Perifericos,361.93,177
835,Disco HDD 2TB,Almacenamiento,791.39,102
836,Monitor Portátil,Monitores,384.64,95
837,Cable de Red Cat6 v4,Redes,331.95,89
838,Cargador Rápido v4,Moviles,582.56,98
839,Funda Protectora,Moviles,189.49,7
840,Organizador de Cables,Accesorios,237.54,100
841,Licencia Windows,Software,890.26,112
842,Disco SSD 512GB v3,Almacenamiento,338.9,187
843,PC de Escritorio v3,Computadoras,468.22,72
844,Monitor 24 pulgadas v5,Monitores,918.36,187
845,Control Inalámbrico,Gaming,282.01,33
846,Licencia Antivirus v5,Software,894.91,128
847,Audífonos Bluetooth,Audio,143.47,53
848,Micrófono USB,Audio,896.03,91
849,PC de Escritorio v4,Computadoras,821.15,97
850,Disco HDD 2TB,Almacenamiento,409.69,188
851,Licencia Windows v2,Software,472.17,33
852,Audífonos Bluetooth,Audio,575.18,183
853,Consola Portátil,Gaming,84.51,87
854,Licencia Office,Software,116.25,162
855,Hub USB-C,Accesorios,100.21,39
856,Cargador Rápido v4,Moviles,448.13,17
857,Cable HDMI,Accesorios,735.88,194
858,Mousepad Gamer v3,Perifericos,822.28,115
859,Monitor Portátil,Monitores,24.47,126
860,Disco SSD 1TB,Almacenamiento,728.47,179
861,Suite de Diseño v5,Software,773.93,81
862,Volante para Consola,Gaming,808.03,71
863,Licencia Antivirus v5,Software,314.18,179
864,Licencia Office v5,Software,757.86,149
865,Consola Portátil v2,Gaming,755.21,3
866,Licencia Windows,Software,416.8,93
867,Licencia Office v2,Software,573.26,167
868,Batería Externa,Accesorios,409.42,179
869,Parlante Portátil,Audio,902.52,27
870,Hub USB-C v4,Accesorios,346.01,198
871,Cable HDMI,Accesorios,397.28,6
872,Batería Externa v4,Accesorios,820.68,40
873,PC de Escritorio,Computadoras,147.91,106
874,Licencia Antivirus v3,Software,437.02,176
875,Parlante Portátil,Audio,356.41,168
876,Cable de Red Cat6,Redes,859.67,89
877,Mini PC,Computadoras,288.61,2
878,Adaptador USB WiFi v4,Redes,751.15,35
879,Licencia Antivirus,Software,532.8,149
880,Audífonos Gamer,Audio,23.51,21
881,Teclado Mecánico,Perifericos,824.92,192
882,Cargador Rápido,Moviles,591.94,20
883,Licencia Windows v5,Software,288.21,72
884,Control Inalámbrico,Gaming,393.75,188
885,Teclado Numérico,Perifericos,521.43,40
886,Memoria USB 64GB v3,Almacenamiento,503.14,113
887,Licencia Office,Software,172.73,43
888,Licencia Windows v5,Software,536.4,153
889,Licencia Office,Software,674.26,106
890,Cable de Red Cat6,Redes,129.98,116
891,Adaptador USB WiFi,Redes,804.69,48
892,Licencia Windows,Software,568.06,129
893,Laptop 14 pulgadas,Computadoras,257.53,123
894,Micrófono USB,Audio,459.48,46
895,Monitor Curvo 27,Monitores,204.79,41
896,Cargador Rápido v5,Moviles,877.74,92
897,Smartwatch Deportivo,Moviles,680.69,163
898,Monitor Gamer 144Hz,Monitores,121.24,157
899,Organizador de Cables v5,Accesorios,518.92,24
900,Parlante Portátil,Audio,259.27,11
901,Monitor Portátil,Monitores,295.6,64
902,Teclado Mecánico,Perifericos,92.89,32
903,Mousepad Gamer,Perifericos,436.17,151
904,Laptop Gamer,Computadoras,17.78,140
905,Audífonos Gamer,Audio,331.68,7
906,All in One 24 v3,Computadoras,915.2,72
907,Teclado Mecánico,Perifericos,746.25,58
908,Disco SSD 512GB v5,Almacenamiento,630.23,31
909,Cable de Red Cat6 v5,Redes,544.61,192
910,Cargador Rápido v2,Moviles,349.3,171
911,Organizador de Cables,Accesorios,912.8,68
912,Laptop Gamer v2,Computadoras,651.42,104
913,Cargador Rápido,Moviles,19.6,63
914,Cargador Rápido v5,Moviles,504.91,126
915,Router WiFi 6 v5,Redes,841.95,139
916,Cargador Rápido,Moviles,131.38,118
917,Licencia Antivirus,Software,925.83,103
918,Micrófono USB,Audio,667.17,54
919,Hub USB-C v2,Accesorios,5.4,93
920,Disco SSD 1TB,Almacenamiento,876.25,94
921,Mouse Inalámbrico,Perifericos,345.37,161
922,Parlante Portátil v2,Audio,900.85,109
923,Monitor Gamer 144Hz v2,Monitores,633.03,114
924,Webcam HD v5,Perifericos,669.99,131
925,Teclado Numérico,Perifericos,863.68,111
926,Software de Respaldo,Software,35.62,178
927,Disco HDD 2TB,Almacenamiento,238.03,49
928,Mouse Inalámbrico,Perifericos,205.03,41
929,Memoria USB 64GB,Almacenamiento,763.07,79
930,Cargador Rápido v4,Moviles,644.96,147
931,Micrófono USB v2,Audio,362.61,122
932,Consola Portátil,Gaming,829.55,165
933,Mousepad Gamer v5,Perifericos,435.49,21
934,Monitor Portátil v3,Monitores,483.92,88
935,Disco HDD 2TB,Almacenamiento,825.75,68
936,Hub USB-C,Accesorios,396.7,143
937,Tarjeta de Regalo Gaming v5,Gaming,180.65,27
938,Disco SSD 512GB v5,Almacenamiento,144.65,164
939,Tarjeta de Regalo Gaming,Gaming,374.57,99
940,Extensor de Red,Redes,443.15,149
941,Audífonos Bluetooth,Audio,183.53,134
942,Webcam HD v4,Perifericos,41.12,5
943,Silla Gamer,Gaming,928.54,116
944,Software de Respaldo v3,Software,760.82,120
945,Base para Laptop v4,Accesorios,566.32,118
946,Audífonos Gamer v5,Audio,242.02,86
947,Teclado Mecánico,Perifericos,699.37,155
948,Audífonos Gamer,Audio,270.2,132
949,Tarjeta SD 128GB v3,Almacenamiento,521.02,142
950,Cable HDMI,Accesorios,453.39,172
951,Hub USB-C,Accesorios,836.47,38
952,Memoria USB 64GB v5,Almacenamiento,328.35,152
953,Audífonos Gamer,Audio,373.26,52
954,Disco SSD 1TB,Almacenamiento,55.29,180
955,Router WiFi 6 v3,Redes,628.29,94
956,Parlante Portátil,Audio,298.19,80
957,Cargador Rápido,Moviles,685.07,161
958,Adaptador USB WiFi,Redes,759.04,167
959,Licencia Antivirus,Software,263.98,81
960,Cargador Rápido,Moviles,714.69,180
961,Disco HDD 2TB v4,Almacenamiento,446.96,134
962,Organizador de Cables v5,Accesorios,673.96,189
963,Switch 8 Puertos,Redes,459.22,131
964,Mini PC,Computadoras,919.84,51
965,Switch 8 Puertos,Redes,465.4,188
966,Control Inalámbrico,Gaming,703.33,166
967,Mousepad Gamer v5,Perifericos,424.07,2
968,Suite de Diseño,Software,746.4,154
969,Audífonos Gamer v5,Audio,776.1,149
970,All in One 24 v5,Computadoras,608.24,70
971,Webcam HD,Perifericos,728.99,78
972,Monitor Gamer 144Hz,Monitores,9.04,162
973,Tarjeta de Regalo Gaming v5,Gaming,275.48,67
974,Funda Protectora,Moviles,411.4,46
975,Parlante Portátil,Audio,887.09,138
976,Tablet 10,Moviles,229.3,157
977,Disco SSD 1TB,Almacenamiento,606.25,69
978,Parlante Portátil v3,Audio,859.14,166
979,Base para Laptop v3,Accesorios,225.09,31
980,Disco SSD 1TB v3,Almacenamiento,702.77,124
981,Volante para Consola,Gaming,324.49,25
982,Mini PC,Computadoras,460.57,170
983,Micrófono USB,Audio,482.86,129
984,PC de Escritorio,Computadoras,576.06,38
985,Tablet 10,Moviles,278.1,31
986,Licencia Antivirus,Software,629.87,134
987,Volante para Consola,Gaming,188.09,125
988,Tarjeta SD 128GB,Almacenamiento,529.41,133
989,Silla Gamer,Gaming,532.82,24
990,Router WiFi 6,Redes,46.69,136
991,Funda Protectora,Moviles,233.8,60
992,Cable HDMI,Accesorios,45.63,93
993,Monitor 24 pulgadas,Monitores,468.41,46
994,Licencia Windows v3,Software,714.26,80
995,Cargador Rápido,Moviles,760.84,83
996,Switch 8 Puertos,Redes,857.12,108
997,Barra de Sonido v4,Audio,309.26,141
998,Smartphone Gama Media,Moviles,437.53,99
999,Cargador Rápido v2,Moviles,414.74,55
1000,Laptop 14 pulgadas,Computadoras,147.42,66
